地點,時間,日期,星期幾,當下溫度,商品品項,貨架上庫存量,原價,折扣(off),剩餘保存期限,Unnamed: 14,剩餘保存期限_小時,商品大類_其他,商品大類_熟食/其他,商品大類_肉類,商品大類_蔬果類,商品大類_魚類,商品大類_麵包甜點類,停車狀況_一般,停車狀況_多,停車狀況_少,停車狀況_無,人流量_一般,人流量_多,人流量_少,天氣_晴天,天氣_陰天,天氣_雨天,售價,折扣實際,折扣預測,售價預測
大全聯 中壢店,19:00-20:00,2025-03-26,星期三,24,雞三節翅,6,120,20.0,1.0,0.0,28.0,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,96.0,0.19999999999999996,0.21769999999999962,93.87600000000005
大全聯 中壢店,19:00-20:01,2025-03-26,星期三,24,里肌火鍋片,6,216,36.0,1.0,0.0,28.0,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,138.24,0.36,0.2943999999999996,152.4096000000001
大全聯 中壢店,19:00-20:02,2025-03-26,星期三,24,豬白肉火鍋片,6,166,20.0,1.0,0.0,28.0,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,132.8,0.19999999999999996,0.22059999999999963,129.38040000000007
大全聯 中壢店,19:00-20:03,2025-03-26,星期三,24,雪花火鍋肉片,8,207,20.0,1.0,0.0,28.0,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,165.60000000000002,0.19999999999999984,0.22319999999999962,160.79760000000007
大全聯 中壢店,19:00-20:04,2025-03-26,星期三,24,翼板牛排,4,230,20.0,1.0,0.0,28.0,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,184.0,0.19999999999999996,0.22019999999999962,179.3540000000001
大全聯 中壢店,19:00-20:05,2025-03-26,星期三,24,澳洲羊梅花火鍋片,6,251,20.0,2.0,0.0,52.0,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,200.8,0.19999999999999996,0.2349399999999996,192.0300600000001
大全聯 中壢店,19:00-20:06,2025-03-26,星期三,24,澳洲小羊肩排,9,269,36.0,1.0,0.0,28.0,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,172.16,0.36,0.31999999999999956,182.9200000000001
大全聯 中壢店,19:00-20:07,2025-03-26,星期三,24,嚴選鮭魚切片,5,519,30.0,1.0,0.0,28.0,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,363.29999999999995,0.30000000000000004,0.25671999999999995,385.76232000000005
大全聯 中壢店,19:00-20:08,2025-03-26,星期三,24,楓糖菠蘿麵包,5,42,20.0,2.0,0.0,52.0,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,33.6,0.19999999999999996,0.1975999999999997,33.700800000000015
大全聯 中壢店,19:00-20:09,2025-03-26,星期三,24,溫室小白菜,3,38,48.0,0.0,0.0,4.0,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,19.76,0.48,0.44262857142857115,21.180114285714296
大全聯 中壢店,19:00-20:10,2025-03-26,星期三,24,台灣香蕉,15,114,57.0,0.0,0.0,4.0,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,49.02,0.57,0.3505,74.04299999999999
大全聯 中壢店,19:00-20:10,2025-03-26,星期三,24,日本青森富士蜜蘋果,1,177,50.0,0.0,0.0,4.0,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,88.5,0.5,0.4706999999999998,93.68610000000004
大全聯 中壢店,15:27:00,2025-03-29,星期六,14,鮭魚,2,71,10.0,0.0,0.0,24.0,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,63.9,0.09999999999999998,0.1434999999999998,60.81150000000002
大全聯 中壢店,15:27:00,2025-03-29,星期六,14,豬梅花肉片,2,174,10.0,0.0,0.0,24.0,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,156.6,0.09999999999999998,0.16089999999999982,146.00340000000003
大全聯 中壢店,15:27:00,2025-03-29,星期六,14,雪花牛肉,4,197,20.0,1.0,0.0,48.0,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,157.60000000000002,0.19999999999999984,0.20359999999999967,156.89080000000007
