地點,停車狀況,時間,日期,星期幾,天氣,當下溫度,人流量,商品品項,貨架上庫存量,原價,折扣(off),剩餘保存期限,商品大類,
大全聯 中壢店,多,19:00-20:00,2025-03-26,星期三,晴天,24,一般,雞三節翅,6,120,20,1,肉類,
大全聯 中壢店,多,19:00-20:01,2025-03-26,星期三,晴天,24,一般,里肌火鍋片,6,216,36,1,肉類,
大全聯 中壢店,多,19:00-20:02,2025-03-26,星期三,晴天,24,一般,豬白肉火鍋片,6,166,20,1,肉類,
大全聯 中壢店,多,19:00-20:03,2025-03-26,星期三,晴天,24,一般,雪花火鍋肉片,8,207,20,1,肉類,
大全聯 中壢店,多,19:00-20:04,2025-03-26,星期三,晴天,24,一般,翼板牛排,4,230,20,1,肉類,
大全聯 中壢店,多,19:00-20:05,2025-03-26,星期三,晴天,24,一般,澳洲羊梅花火鍋片,6,251,20,2,肉類,
大全聯 中壢店,多,19:00-20:06,2025-03-26,星期三,晴天,24,一般,澳洲小羊肩排,9,269,36,1,肉類,
大全聯 中壢店,多,19:00-20:07,2025-03-26,星期三,晴天,24,一般,嚴選鮭魚切片,5,519,30,1,魚類,
大全聯 中壢店,多,19:00-20:08,2025-03-26,星期三,晴天,24,一般,楓糖菠蘿麵包,5,42,20,2,麵包甜點類,
大全聯 中壢店,多,19:00-20:09,2025-03-26,星期三,晴天,24,一般,溫室小白菜,3,38,48,0,蔬果類,
大全聯 中壢店,多,19:00-20:10,2025-03-26,星期三,晴天,24,一般,台灣香蕉,15,114,57,0,其他,
大全聯 中壢店,多,19:00-20:10,2025-03-26,星期三,晴天,24,一般,日本青森富士蜜蘋果,1,177,50,0,蔬果類,
大全聯 中壢店,多,15:27:00,2025-03-29,星期六,陰天,14,一般,鮭魚,2,71,10,0,魚類,
大全聯 中壢店,多,15:27:00,2025-03-29,星期六,陰天,14,一般,豬梅花肉片,2,174,10,0,肉類,
大全聯 中壢店,多,15:27:00,2025-03-29,星期六,陰天,14,一般,雪花牛肉,4,197,20,1,肉類,
大全聯 中壢店,多,19:25-19:50,2025-04-01,星期二,陰天,14,少,雞清胸肉,2,153,20,1,肉類,
大全聯 中壢店,多,19:25-19:50,2025-04-01,星期二,陰天,14,少,里肌火鍋片,6,192,20,1,肉類,
大全聯 中壢店,多,19:25-19:50,2025-04-01,星期二,陰天,14,少,豬白肉火鍋片,9,185,20,1,肉類,
大全聯 中壢店,多,19:25-19:50,2025-04-01,星期二,陰天,14,少,雪花火鍋肉片,17,284,36,0,肉類,
大全聯 中壢店,多,19:25-19:50,2025-04-01,星期二,陰天,14,少,翼板牛排,2,374,20,1,肉類,
大全聯 中壢店,多,19:25-19:50,2025-04-01,星期二,陰天,14,少,澳洲羊梅花火鍋片,10,347,20,2,肉類,
大全聯 中壢店,多,19:25-19:50,2025-04-01,星期二,陰天,14,少,澳洲小羊肩排,2,291,20,2,肉類,
